pan_id,full_sample_id,partner,volume,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g,
43,POC-475-20220811,sym,5,0.7465,0.7605,0.7558,0.0093
44,POC-476-20220812,sym,5,0.7539,0.76675,0.7652,0.0113
45,POC-477-20220812,sym,5,0.7477,0.7639,0.7604,0.0127
46,POC-478-20220812,sym,5,0.785,0.7455,0.7436,-0.0414
47,POC-479-20220812,sym,5,0.7322,0.7499,0.7455,0.0133
48,POC-480-20220812,sym,5,0.7304,0.7436,0.7412,0.0108
49,POC-481-20220812,sym,5,0.7413,0.7526,0.7485,0.0072
50,POC-482-20220812,sym,5,0.7364,0.7539,0.7515,0.0151
51,POC-483-20220812,sym,5,0.748,0.7556,0.7509,0.0029
52,POC-484-20220812,sym,5,0.7467,0.7621,0.7584,0.0117
53,POC-485-20220812,sym,5,0.7321,0.7417,0.7394,0.0073
55,POC-466-20221111,sym,5,0.7522,0.772,0.7593,0.0071
56,POC-467-20221111,sym,5,0.7374,0.7524,0.7449,0.0075
57,POC-468-20221111,sym,5,0.7404,0.7684,0.7506,0.0102
58,POC-469-20221111,sym,5,0.7469,0.7633,0.7537,0.0068
59,POC-470-20221111,sym,5,0.737,0.7673,0.7466,0.0096
60,POC-471-20221111,sym,5,0.7303,0.7503,0.739,0.0087
61,POC-472-20221111,sym,5,0.7418,0.7636,0.7511,0.0093
62,POC-473-20221111,sym,5,0.7344,0.7531,0.7424,0.008
63,POC-474-20221111,sym,5,0.7495,0.7825,0.7593,0.0098
64,POC-475-20221111,sym,5,0.725,0.7453,0.7344,0.0094
65,POC-476-20221110,sym,5,0.7296,0.7464,0.7375,0.0079
66,POC-477-20221110,sym,5,0.7403,0.7556,0.7493,0.009
67,POC-478-20221110,sym,5,0.728,0.7417,0.7356,0.0076
68,POC-479-20221110,sym,5,0.7334,0.7521,0.7421,0.0087
69,POC-480-20221110,sym,5,0.7343,0.7472,0.7409,0.0066
70,POC-481-20221110,sym,5,0.7403,0.7562,0.7488,0.0085
71,POC-482-20221110,sym,5,0.7318,0.7452,0.7432,0.0114
72,POC-483-20221110,sym,5,0.7488,0.7656,0.759,0.0102
73,POC-484-20221110,sym,5,0.7382,0.7521,0.7524,0.0142
74,POC-485-20221110,sym,5,0.7631,0.7792,0.7773,0.0142
75,POC-466-20220616,sym,5,0.744,0.7759,0.7681,0.0241
76,POC-467-20220616,sym,5,0.7502,0.7733,0.7633,0.0131
77,POC-468-20220616,sym,5,0.7518,0.7727,0.7643,0.0125
78,POC-469-20220616,sym,5,0.7379,0.7615,0.7503,0.0124
79,POC-470-20220616,sym,5,0.7542,0.7747,0.7644,0.0102
80,POC-471-20220616,sym,5,0.7438,0.7645,0.7558,0.012
81,POC-472-20220616,sym,5,0.7216,0.7438,0.7326,0.011
82,POC-473-20220616,sym,5,0.7436,0.7616,0.755,0.0114
83,POC-474-20220616,sym,5,0.745,0.7677,0.7562,0.0112
84,POC-475-20220616,sym,5,0.7597,0.783,0.7712,0.0115
85,POC-476-20220617,sym,5,0.7434,0.7561,0.7534,0.01
86,POC-477-20220617,sym,5,0.7447,0.765,0.7561,0.0114
87,POC-478-20220617,sym,5,0.728,0.7448,0.7393,0.0113
88,POC-479-20220617,sym,5,0.7566,0.7809,0.769,0.0124
89,POC-480-20220617,sym,5,0.7269,0.7445,0.7385,0.0116
90,POC-481-20220617,sym,5,0.7395,0.7602,0.7516,0.0121
91,POC-482-20220617,sym,5,0.7397,0.7582,0.7497,0.01
92,POC-483-20220617,sym,5,0.7432,0.7638,0.755,0.0118
93,POC-485-20220617,sym,5,0.737,0.7525,0.7487,0.0117
94,POC-466-20220515,sym,5,0.7418,0.758,0.7527,0.0109
95,POC-467-20220515,sym,5,0.7492,0.7563,0.7552,0.006
96,POC-468-20220515,sym,3,0.7285,0.7416,0.7365,0.008
97,POC-469-20220515,sym,5,0.7369,0.75,0.7465,0.0096
98,POC-470-20220515,sym,5,0.7361,0.7496,0.7469,0.0108
99,POC-471-20220515,sym,5,0.7364,0.7503,0.7479,0.0115
100,POC-472-20220515,sym,5,0.7377,0.7504,0.748,0.0103
101,POC-473-20220515,sym,5,0.7357,0.7501,0.7461,0.0104
102,POC-474-20220515,sym,5,0.749,0.7666,0.7604,0.0114
103,POC-475-20220515,sym,5,0.7347,0.7479,0.746,0.0113
104,POC-476-20220517,sym,5,0.7412,0.7574,0.7516,0.0104
105,POC-477-20220517,sym,5,0.7441,0.7636,0.7566,0.0125
106,POC-478-20220517,sym,5,0.7545,0.7684,0.7651,0.0106
